   Time             Vo                Vo_             
 4.380000000E-003 -3.186685601E+002 -3.180485360E+002 
 4.390000000E-003  3.363653620E+002 -3.181081461E+002 
 4.400000000E-003 -3.186013150E+002 -3.177436339E+002 
 4.410000000E-003 -3.185679374E+002 -3.174419345E+002 
 4.420000000E-003 -3.185345571E+002 -3.171594739E+002 
 4.430000000E-003 -3.185011727E+002 -3.169016922E+002 
 4.440000000E-003 -3.184677836E+002 -3.166671684E+002 
 4.450000000E-003 -3.184343892E+002 -3.164545414E+002 
 4.460000000E-003 -3.184009890E+002 -3.162625079E+002 
 4.470000000E-003 -3.183675825E+002 -3.160898211E+002 
 4.480000000E-003 -3.183341693E+002 -3.159352888E+002 
 4.490000000E-003 -3.183007491E+002 -3.157977720E+002 
 4.500000000E-003  3.367328497E+002 -3.157928657E+002 
 4.510000000E-003 -3.182345139E+002 -3.151254149E+002 
